date,month,year,celsuis,fahrenheit,States,Country
11/1/2012,Nov,2012,15.059,59,Texas,United States
12/1/2012,Dec,2012,10.457,51,Texas,United States
1/1/2012,Jan,2012,-1.012,30,Utah,United States
2/1/2012,Feb,2012,-0.694,31,Utah,United States
3/1/2012,Mar,2012,5.686,42,Utah,United States
4/1/2012,Apr,2012,9.541,49,Utah,United States
5/1/2012,May,2012,14.272,58,Utah,United States
6/1/2012,Jun,2012,20.099,68,Utah,United States
7/1/2012,Jul,2012,22.669,73,Utah,United States
8/1/2012,Aug,2012,22.55,73,Utah,United States
9/1/2012,Sep,2012,17.382,63,Utah,United States
10/1/2012,Oct,2012,10.156,50,Utah,United States
11/1/2012,Nov,2012,4.914,41,Utah,United States
12/1/2012,Dec,2012,-2.58,27,Utah,United States
1/1/2012,Jan,2012,-5.615,22,Vermont,United States
2/1/2012,Feb,2012,-3.244,26,Vermont,United States
3/1/2012,Mar,2012,3.882,39,Vermont,United States
4/1/2012,Apr,2012,6.542,44,Vermont,United States
5/1/2012,May,2012,14.54,58,Vermont,United States
6/1/2012,Jun,2012,17.447,63,Vermont,United States
7/1/2012,Jul,2012,20.883,70,Vermont,United States
8/1/2012,Aug,2012,20.243,68,Vermont,United States
9/1/2012,Sep,2012,14.475,58,Vermont,United States
10/1/2012,Oct,2012,9.761,50,Vermont,United States
11/1/2012,Nov,2012,1.115,34,Vermont,United States
12/1/2012,Dec,2012,-2.191,28,Vermont,United States
1/1/2012,Jan,2012,4.122,39,Virginia,United States
2/1/2012,Feb,2012,5.587,42,Virginia,United States
3/1/2012,Mar,2012,13.129,56,Virginia,United States
4/1/2012,Apr,2012,13.254,56,Virginia,United States
5/1/2012,May,2012,20.177,68,Virginia,United States
6/1/2012,Jun,2012,21.721,71,Virginia,United States
7/1/2012,Jul,2012,26.479,80,Virginia,United States
8/1/2012,Aug,2012,23.883,75,Virginia,United States
9/1/2012,Sep,2012,19.934,68,Virginia,United States
10/1/2012,Oct,2012,13.824,57,Virginia,United States
11/1/2012,Nov,2012,6.349,43,Virginia,United States
12/1/2012,Dec,2012,6.311,43,Virginia,United States
1/1/2012,Jan,2012,-0.77,31,Washington,United States
2/1/2012,Feb,2012,1.277,34,Washington,United States
3/1/2012,Mar,2012,3.361,38,Washington,United States
4/1/2012,Apr,2012,7.968,46,Washington,United States
5/1/2012,May,2012,10.856,52,Washington,United States
6/1/2012,Jun,2012,13.144,56,Washington,United States
7/1/2012,Jul,2012,18.57,65,Washington,United States
8/1/2012,Aug,2012,19.106,66,Washington,United States
9/1/2012,Sep,2012,15.366,60,Washington,United States
10/1/2012,Oct,2012,8.457,47,Washington,United States
11/1/2012,Nov,2012,4.11,39,Washington,United States
12/1/2012,Dec,2012,0.29,33,Washington,United States
1/1/2012,Jan,2012,1.848,35,West Virginia,United States
2/1/2012,Feb,2012,3.365,38,West Virginia,United States
3/1/2012,Mar,2012,11.675,53,West Virginia,United States
4/1/2012,Apr,2012,11.188,52,West Virginia,United States
5/1/2012,May,2012,19.4,67,West Virginia,United States
6/1/2012,Jun,2012,20.615,69,West Virginia,United States
7/1/2012,Jul,2012,24.982,77,West Virginia,United States
8/1/2012,Aug,2012,22.281,72,West Virginia,United States
9/1/2012,Sep,2012,18.345,65,West Virginia,United States
10/1/2012,Oct,2012,11.94,54,West Virginia,United States
11/1/2012,Nov,2012,4.605,40,West Virginia,United States
12/1/2012,Dec,2012,4.28,40,West Virginia,United States
1/1/2012,Jan,2012,-5.667,22,Wisconsin,United States
2/1/2012,Feb,2012,-2.827,27,Wisconsin,United States
3/1/2012,Mar,2012,7.852,46,Wisconsin,United States
4/1/2012,Apr,2012,7.472,45,Wisconsin,United States
5/1/2012,May,2012,15.751,60,Wisconsin,United States
6/1/2012,Jun,2012,19.955,68,Wisconsin,United States
7/1/2012,Jul,2012,24.157,76,Wisconsin,United States
8/1/2012,Aug,2012,20.008,68,Wisconsin,United States
9/1/2012,Sep,2012,14.744,59,Wisconsin,United States
10/1/2012,Oct,2012,7.544,46,Wisconsin,United States
11/1/2012,Nov,2012,1.888,35,Wisconsin,United States
12/1/2012,Dec,2012,-3.367,26,Wisconsin,United States
1/1/2012,Jan,2012,-3.808,25,Wyoming,United States
2/1/2012,Feb,2012,-4.91,23,Wyoming,United States
3/1/2012,Mar,2012,4.259,40,Wyoming,United States
4/1/2012,Apr,2012,7.111,45,Wyoming,United States
5/1/2012,May,2012,10.369,51,Wyoming,United States
6/1/2012,Jun,2012,17.366,63,Wyoming,United States
7/1/2012,Jul,2012,21.363,71,Wyoming,United States
8/1/2012,Aug,2012,19.468,67,Wyoming,United States
9/1/2012,Sep,2012,14.491,58,Wyoming,United States
10/1/2012,Oct,2012,5.455,42,Wyoming,United States
11/1/2012,Nov,2012,1.884,35,Wyoming,United States
12/1/2012,Dec,2012,-5.374,22,Wyoming,United States
